Transition	Tag	Frequency(Ghz)	Eup(K)	Aij	Tau	Tex	Intensity(K)
CH3OCHO (17 5 12 2 _ 16 6 11 1) 	60003	70585.214	107.817	9.07E-8	0.000E0	0	0.00E0	
CH3COCH3 (14 13 1 1 _ 14 12 2 1) 	58003	70592.803	96.86	4.19E-6	0.000E0	0	0.00E0	
CH3NH2 (6 -1 3 _ 6 0 2) 	31008	70593.538	48.344	3.41E-6	0.000E0	0	0.00E0	
CH3COCH3 (11 5 6 1 _ 10 8 2 2) 	58003	70613.574	51.066	1.96E-8	0.000E0	0	0.00E0	
CH3COCH3 (14 13 2 1 _ 14 12 3 1) 	58003	70623.714	96.86	4.19E-6	0.000E0	0	0.00E0	
CH3OCHO (20 4 17 0 _ 21 2 20 0) 	60003	70628.865	134.987	3.10E-9	0.000E0	0	0.00E0	
CH3COCH3 (6 4 2 1 _ 5 5 1 1) 	58003	70633.186	17.536	5.79E-7	0.000E0	0	0.00E0	
CH3COOH, vt=1 (5 2 4 1 0 _ 4 1 3 1 0) 	60524	70635.264	116.139	2.49E-6	0.000E0	0	0.00E0	
C3H7CN (6 5 1 1 _ 7 3 4 1) 	69002	70668.908	146.491	7.88E-10	0.000E0	0	0.00E0	
CH3OCHO (20 4 17 0 _ 21 1 20 0) 	60003	70677.046	134.987	4.79E-9	0.000E0	0	0.00E0	
C3H7CN (16 2 15 0 _ 15 2 14 0) 	69002	70681.845	32.964	2.54E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 8 7 0 0 _ 14 7 8 0 0) 	60523	70685.969	92.119	2.21E-6	0.000E0	0	0.00E0	
C6H (25 1 25.5 _ 24 -1 24.5) 	73501	70690.390	44.704	6.17E-5	0.000E0	0	0.00E0	
C6H (25 -1 25.5 _ 24 1 24.5) 	73501	70708.060	44.712	6.17E-5	0.000E0	0	0.00E0	
C2H5OH,v=0 (5 2 4 0 _ 4 1 4 1) 	46524	70712.569	74.198	8.03E-7	0.000E0	0	0.00E0	
C3H7CN (16 6 10 0 _ 15 6 9 0) 	69002	70753.982	65.921	2.22E-5	0.000E0	0	0.00E0	
C3H7CN (16 6 11 0 _ 15 6 10 0) 	69002	70753.982	65.921	2.22E-5	0.000E0	0	0.00E0	
C3H7CN (16 5 12 0 _ 15 5 11 0) 	69002	70754.307	54.6	2.33E-5	0.000E0	0	0.00E0	
C3H7CN (16 5 11 0 _ 15 5 10 0) 	69002	70754.307	54.6	2.33E-5	0.000E0	0	0.00E0	
C3H7CN (16 7 9 0 _ 15 7 8 0) 	69002	70756.050	79.297	2.09E-5	0.000E0	0	0.00E0	
C3H7CN (16 7 10 0 _ 15 7 9 0) 	69002	70756.050	79.297	2.09E-5	0.000E0	0	0.00E0	
C3H7CN (16 4 13 0 _ 15 4 12 0) 	69002	70759.036	45.336	2.42E-5	0.000E0	0	0.00E0	
C3H7CN (16 4 12 0 _ 15 4 11 0) 	69002	70759.158	45.336	2.43E-5	0.000E0	0	0.00E0	
C3H7CN (16 8 8 0 _ 15 8 7 0) 	69002	70759.695	94.726	1.94E-5	0.000E0	0	0.00E0	
C3H7CN (16 8 9 0 _ 15 8 8 0) 	69002	70759.695	94.726	1.94E-5	0.000E0	0	0.00E0	
C3H7CN (29 3 27 0 _ 30 1 30 0) 	69002	70762.247	101.621	1.21E-9	0.000E0	0	0.00E0	
C3H7CN (16 9 7 0 _ 15 9 6 0) 	69002	70764.545	112.207	1.77E-5	0.000E0	0	0.00E0	
C3H7CN (16 9 8 0 _ 15 9 7 0) 	69002	70764.545	112.207	1.77E-5	0.000E0	0	0.00E0	
C3H7CN (16 3 14 0 _ 15 3 13 0) 	69002	70770.222	38.132	2.50E-5	0.000E0	0	0.00E0	
C3H7CN (16 10 6 0 _ 15 10 5 0) 	69002	70770.407	131.736	1.58E-5	0.000E0	0	0.00E0	
C3H7CN (16 10 7 0 _ 15 10 6 0) 	69002	70770.407	131.736	1.58E-5	0.000E0	0	0.00E0	
CH3COCH3 (14 13 1 1 _ 14 12 2 2) 	58003	70774.203	96.977	4.21E-6	0.000E0	0	0.00E0	
CH3OCHO (5 3 2 2 _ 5 2 4 1) 	60003	70775.147	14.854	5.58E-8	0.000E0	0	0.00E0	
C3H7CN (16 3 13 0 _ 15 3 12 0) 	69002	70780.161	38.133	2.50E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (12 9 3 0 0 _ 11 11 0 0 0) 	60523	70799.798	74.082	3.90E-10	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 8 7 0 0 _ 14 6 8 0 0) 	60523	70811.987	92.119	3.69E-7	0.000E0	0	0.00E0	
CH3COCH3 (14 13 2 0 _ 14 12 3 1) 	58003	70812.034	96.793	4.22E-6	0.000E0	0	0.00E0	
CH3NH2 (3 2 5 _ 4 1 4) 	31008	70815.577	28.789	8.33E-8	0.000E0	0	0.00E0	
CH3NH2 (3 2 6 _ 4 1 7) 	31008	70815.799	28.564	3.36E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (6 5 1 0 2 _ 6 3 4 0 1) 	60523	70816.349	20.364	1.74E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 4 4 0 0 _ 6 5 1 0 0) 	60523	70819.076	24.302	5.87E-8	0.000E0	0	0.00E0	
CH3OCH3 (3 3 1 2 _ 4 2 3 2) 	46008	70827.012	18.118	5.03E-8	0.000E0	0	0.00E0	
