Transition	Tag	Frequency(Ghz)	Eup(K)	Aij	Tau	Tex	Intensity(K)
CH3OCHO (12 2 11 0 _ 12 0 12 0) 	60003	105235.094	47.467	4.04E-7	0.000E0	0	0.00E0	
CH3COOH, vt=1 (4 3 2 1 0 _ 3 1 3 1 0) 	60524	105240.988	113.861	6.94E-8	0.000E0	0	0.00E0	
CH3SH,v=0-2 (10 1 9 1 _ 10 0 10 1) 	48510	105246.035	73.171	2.82E-6	0.000E0	0	0.00E0	
C2H3CN (7 1 7 0 7 _ 6 0 6 0 7) 	53001	105247.564	14.599	6.05E-8	0.000E0	0	0.00E0	
C2H3CN (7 1 7 0 6 _ 6 0 6 0 5) 	53001	105248.878	14.599	2.90E-6	0.000E0	0	0.00E0	
C2H3CN (7 1 7 0 7 _ 6 0 6 0 6) 	53001	105248.904	14.599	2.91E-6	0.000E0	0	0.00E0	
C2H3CN (7 1 7 0 8 _ 6 0 6 0 7) 	53001	105248.914	14.599	2.97E-6	0.000E0	0	0.00E0	
C2H3CN (7 1 7 0 6 _ 6 0 6 0 6) 	53001	105250.430	14.599	6.98E-8	0.000E0	0	0.00E0	
C3H7CN (26 0 26 0 _ 25 1 25 0) 	69002	105253.747	74.048	4.41E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (9 4 6 1 _ 10 3 8 0) 	46524	105264.316	118.655	8.78E-7	0.000E0	0	0.00E0	
C3H7CN (7 3 5 1 _ 6 1 6 1) 	69002	105297.641	143.087	7.89E-8	0.000E0	0	0.00E0	
C3H7CN (10 2 8 1 _ 9 1 9 1) 	69002	105300.189	149.565	1.64E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (15 12 4 0 0 _ 15 10 5 0 0) 	60523	105300.558	115.694	3.97E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 1 10 0 1 _ 11 0 11 0 2) 	60523	105302.486	41.446	1.50E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 1 10 0 1 _ 11 1 11 0 2) 	60523	105302.486	41.446	3.38E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 2 10 0 1 _ 11 1 11 0 2) 	60523	105302.487	41.446	1.50E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 2 10 0 1 _ 11 0 11 0 2) 	60523	105302.487	41.446	3.38E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (17 2 15 2 _ 17 1 16 2) 	46524	105355.599	136.555	8.87E-6	0.000E0	0	0.00E0	
CH3OCHO (15 2 13 2 _ 15 1 14 2) 	60003	105363.722	75.916	1.22E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (7 3 4 1 2 _ 6 3 3 1 1) 	60524	105375.363	136.468	1.27E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (2 0 2 1 _ 1 1 0 0) 	46524	105385.883	64.022	1.50E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 4 3 0 0 _ 6 5 2 0 0) 	60523	105389.473	25.574	1.14E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (4 3 2 1 0 _ 3 0 3 1 0) 	60524	105400.972	113.861	4.18E-7	0.000E0	0	0.00E0	
C2H3CHO (11 3 9 0 _ 12 2 10 0) 	56008	105423.967	46.741	4.37E-7	0.000E0	0	0.00E0	
CH3OCHO (15 2 13 0 _ 15 1 14 0) 	60003	105424.623	75.905	1.22E-6	0.000E0	0	0.00E0	
C3H7CN (35 2 34 0 _ 35 0 35 0) 	69002	105426.506	137.527	1.08E-7	0.000E0	0	0.00E0	
CH3COCH3 (13 10 3 1 _ 13 7 6 1) 	58003	105432.870	77.861	1.38E-6	0.000E0	0	0.00E0	
CH3COCH3 (10 9 1 1 _ 10 6 4 2) 	58003	105437.184	49.923	1.36E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (6 6 1 0 2 _ 6 3 4 0 1) 	60523	105441.493	22.026	1.32E-8	0.000E0	0	0.00E0	
C3H7CN (19 3 16 0 _ 19 2 17 0) 	69002	105446.474	49.6	3.41E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (7 4 4 1 2 _ 6 3 3 1 1) 	60524	105455.439	136.472	9.47E-6	0.000E0	0	0.00E0	
C2H3CN (2 2 1 0 1 _ 3 1 2 0 2) 	53001	105458.877	10.023	3.66E-7	0.000E0	0	0.00E0	
CH3OCHO (18 3 15 2 _ 18 2 16 2) 	60003	105459.074	110.74	1.59E-6	0.000E0	0	0.00E0	
C2H5CN (15 2 14 _ 15 0 15) 	55001	105459.483	55.854	4.34E-7	0.000E0	0	0.00E0	
C2H3CN (2 2 1 0 3 _ 3 1 2 0 2) 	53001	105459.562	10.023	8.31E-10	0.000E0	0	0.00E0	
C2H3CN (2 2 1 0 3 _ 3 1 2 0 4) 	53001	105459.863	10.023	3.36E-7	0.000E0	0	0.00E0	
C2H3CN (2 2 1 0 3 _ 3 1 2 0 3) 	53001	105460.745	10.023	2.91E-8	0.000E0	0	0.00E0	
C2H3CN (2 2 1 0 2 _ 3 1 2 0 2) 	53001	105460.775	10.023	4.07E-8	0.000E0	0	0.00E0	
C2H3CN (2 2 1 0 2 _ 3 1 2 0 3) 	53001	105461.957	10.023	3.26E-7	0.000E0	0	0.00E0	
NH2CHO (5 0 5 4 _ 4 0 4 4) 	45003	105463.301	15.219	3.96E-6	0.000E0	0	0.00E0	
NH2CHO (5 0 5 6 _ 4 0 4 5) 	45003	105464.258	15.219	8.11E-5	0.000E0	0	0.00E0	
NH2CHO (5 0 5 4 _ 4 0 4 3) 	45003	105464.285	15.219	7.71E-5	0.000E0	0	0.00E0	
NH2CHO (5 0 5 5 _ 4 0 4 4) 	45003	105464.330	15.219	7.78E-5	0.000E0	0	0.00E0	
NH2CHO (5 0 5 5 _ 4 0 4 5) 	45003	105465.113	15.219	3.24E-6	0.000E0	0	0.00E0	
C2H5CN (12 0 12 _ 11 0 11) 	55001	105469.304	33.163	9.69E-5	0.000E0	0	0.00E0	
C3H7CN (7 5 3 1 _ 6 4 2 1) 	69002	105481.898	148.503	1.91E-5	0.000E0	0	0.00E0	
C3H7CN (7 5 2 1 _ 6 4 3 1) 	69002	105483.696	148.503	1.91E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (6 4 3 0 0 _ 5 3 2 0 0) 	60523	105488.029	19.102	5.32E-6	0.000E0	0	0.00E0	
CH3COCH3 (10 7 4 0 _ 9 8 1 0) 	58003	105496.511	45.435	1.56E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 9 6 0 1 _ 13 11 3 0 2) 	60523	105510.573	94.856	1.02E-8	0.000E0	0	0.00E0	
CH3OCHO (18 3 15 0 _ 18 2 16 0) 	60003	105521.789	110.732	1.60E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (4 4 1 0 0 _ 3 2 2 0 0) 	60523	105538.553	10.581	1.19E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (15 6 9 0 2 _ 14 8 6 0 1) 	60523	105595.765	99.295	1.38E-8	0.000E0	0	0.00E0	
CH3OH, vt=0-2 (4 2 3 1 _ 5 1 5 2) 	32504	105602.808	45.46	2.88E-10	0.000E0	0	0.00E0	
CH3COOH, vt=1 (6 5 2 1 0 _ 6 2 5 1 0) 	60524	105612.019	125.058	1.17E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (14 8 7 0 0 _ 13 10 3 0 0) 	60523	105612.494	92.119	5.48E-9	0.000E0	0	0.00E0	
CH3COOH, vt=0 (15 7 9 0 2 _ 14 8 6 0 1) 	60523	105638.586	99.297	6.02E-8	0.000E0	0	0.00E0	
C2H3CN (7 2 5 0 6 _ 8 0 8 0 7) 	53001	105643.226	21.422	1.56E-8	0.000E0	0	0.00E0	
C2H3CN (7 2 5 0 8 _ 8 0 8 0 9) 	53001	105643.245	21.422	1.53E-8	0.000E0	0	0.00E0	
C2H3CN (7 2 5 0 7 _ 8 0 8 0 8) 	53001	105643.561	21.422	1.53E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (12 5 7 0 0 _ 11 7 4 0 0) 	60523	105683.129	65.701	2.29E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 10 6 0 0 _ 16 8 8 0 0) 	60523	105720.951	124.056	2.50E-9	0.000E0	0	0.00E0	
C2H5OH,v=0 (8 2 7 0 _ 8 0 8 0) 	46524	105731.689	91.499	5.43E-6	0.000E0	0	0.00E0	
C2H3CN (21 4 17 0 21 _ 22 3 20 0 21) 	53001	105752.169	139.872	1.96E-9	0.000E0	0	0.00E0	
C2H3CN (21 4 17 0 22 _ 22 3 20 0 23) 	53001	105753.445	139.872	9.46E-7	0.000E0	0	0.00E0	
C2H3CN (21 4 17 0 20 _ 22 3 20 0 21) 	53001	105753.446	139.872	9.48E-7	0.000E0	0	0.00E0	
C2H3CN (21 4 17 0 21 _ 22 3 20 0 22) 	53001	105753.516	139.872	9.46E-7	0.000E0	0	0.00E0	
C2H3CN (21 4 17 0 22 _ 22 3 20 0 22) 	53001	105754.777	139.872	1.87E-9	0.000E0	0	0.00E0	
CH3OCH3 (13 1 12 3 _ 13 0 13 3) 	46008	105768.344	86	3.70E-6	0.000E0	0	0.00E0	
CH3OCH3 (13 1 12 2 _ 13 0 13 2) 	46008	105768.344	86	3.70E-6	0.000E0	0	0.00E0	
CH3OCH3 (13 1 12 1 _ 13 0 13 1) 	46008	105770.327	86	3.70E-6	0.000E0	0	0.00E0	
CH3OCH3 (13 1 12 0 _ 13 0 13 0) 	46008	105772.311	86	3.70E-6	0.000E0	0	0.00E0	
C3H7CN (18 3 15 0 _ 18 2 16 0) 	69002	105781.060	45.565	3.42E-6	0.000E0	0	0.00E0	
C2H5CN (7 3 4 _ 8 1 7) 	55001	105809.495	22.048	7.10E-9	0.000E0	0	0.00E0	
CH3OCHO (14 11 4 1 _ 15 10 6 1) 	60003	105810.803	142.213	7.67E-8	0.000E0	0	0.00E0	
CH3OCHO (3 3 1 1 _ 2 2 0 2) 	60003	105815.953	9.528	3.36E-7	0.000E0	0	0.00E0	
CH3OCHO (14 11 3 2 _ 15 10 5 2) 	60003	105832.067	142.231	7.68E-8	0.000E0	0	0.00E0	
CH3COCH3 (10 7 4 1 _ 9 8 1 1) 	58003	105843.440	45.583	1.58E-6	0.000E0	0	0.00E0	
CH3C4H (26 3 _ 25 3) 	64507	105843.482	136.425	9.73E-6	0.000E0	0	0.00E0	
CH3C4H (26 2 _ 25 2) 	64507	105848.634	98.738	9.81E-6	0.000E0	0	0.00E0	
CH3C4H (26 1 _ 25 1) 	64507	105851.725	76.123	9.85E-6	0.000E0	0	0.00E0	
CH3C4H (26 0 _ 25 0) 	64507	105852.755	68.584	9.87E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (12 6 7 0 0 _ 11 7 4 0 0) 	60523	105864.701	65.709	1.08E-7	0.000E0	0	0.00E0	
CH3COOH, vt=1 (6 5 1 1 1 _ 5 5 0 1 2) 	60524	105871.519	132.895	6.05E-7	0.000E0	0	0.00E0	
CH3COCH3 (14 10 5 1 _ 14 7 7 2) 	58003	105874.339	87.784	1.64E-7	0.000E0	0	0.00E0	
CH3OCHO (14 11 3 0 _ 15 10 6 0) 	60003	105875.499	142.225	7.68E-8	0.000E0	0	0.00E0	
CH3OCHO (14 11 4 0 _ 15 10 5 0) 	60003	105875.499	142.225	7.68E-8	0.000E0	0	0.00E0	
C3H7CN (24 2 23 0 _ 23 2 22 0) 	69002	105912.867	67.714	8.70E-5	0.000E0	0	0.00E0	
C3H7CN (16 3 14 0 _ 17 1 17 0) 	69002	105912.997	38.132	1.85E-9	0.000E0	0	0.00E0	
C3H7CN (9 4 6 0 _ 10 3 7 0) 	69002	105936.640	26.023	7.41E-7	0.000E0	0	0.00E0	
C3H7CN (9 4 5 0 _ 10 3 8 0) 	69002	105938.643	26.023	7.41E-7	0.000E0	0	0.00E0	
NH2CHO (5 2 4 4 _ 4 2 3 4) 	45003	105972.318	27.186	3.38E-6	0.000E0	0	0.00E0	
NH2CHO (5 2 4 4 _ 4 2 3 3) 	45003	105972.665	27.186	6.57E-5	0.000E0	0	0.00E0	
NH2CHO (5 2 4 6 _ 4 2 3 5) 	45003	105972.681	27.186	6.91E-5	0.000E0	0	0.00E0	
NH2CHO (5 2 4 5 _ 4 2 3 4) 	45003	105972.831	27.186	6.64E-5	0.000E0	0	0.00E0	
NH2CHO (5 2 4 5 _ 4 2 3 5) 	45003	105973.107	27.186	2.77E-6	0.000E0	0	0.00E0	
C2H3CHO (12 0 12 0 _ 11 0 11 0) 	56008	105973.463	33.18	6.19E-5	0.000E0	0	0.00E0	
CH3OCHO (3 3 1 0 _ 2 2 0 0) 	60003	105977.940	9.516	2.25E-6	0.000E0	0	0.00E0	
C3H7CN (10 2 9 0 _ 9 1 8 0) 	69002	105995.182	15.787	2.15E-6	0.000E0	0	0.00E0	
CH3SH,v=0-2 (1 1 0 0 _ 1 0 1 0) 	48510	105998.314	6.301	3.85E-6	0.000E0	0	0.00E0	
CH3OCHO (3 3 1 1 _ 2 2 1 1) 	60003	106018.879	9.528	1.92E-6	0.000E0	0	0.00E0	
CH3OCHO (3 3 0 2 _ 2 2 0 2) 	60003	106031.705	9.538	1.91E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (6 6 1 0 2 _ 6 2 4 0 1) 	60523	106036.417	22.026	2.80E-9	0.000E0	0	0.00E0	
C3H7CN (17 3 14 0 _ 17 2 15 0) 	69002	106070.344	41.743	3.43E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (5 4 1 1 1 _ 4 3 2 1 2) 	60524	106083.424	127.376	3.18E-6	0.000E0	0	0.00E0	
NH2CHO (5 4 2 5 _ 4 4 1 5) 	45003	106107.576	62.95	1.19E-6	0.000E0	0	0.00E0	
NH2CHO (5 4 1 5 _ 4 4 0 5) 	45003	106107.602	62.95	1.19E-6	0.000E0	0	0.00E0	
NH2CHO (5 4 2 4 _ 4 4 1 3) 	45003	106107.845	62.951	2.83E-5	0.000E0	0	0.00E0	
NH2CHO (5 4 1 4 _ 4 4 0 3) 	45003	106107.870	62.951	2.83E-5	0.000E0	0	0.00E0	
NH2CHO (5 4 2 6 _ 4 4 1 5) 	45003	106108.002	62.951	2.98E-5	0.000E0	0	0.00E0	
NH2CHO (5 4 1 6 _ 4 4 0 5) 	45003	106108.028	62.951	2.98E-5	0.000E0	0	0.00E0	
NH2CHO (5 4 2 5 _ 4 4 1 4) 	45003	106108.527	62.951	2.86E-5	0.000E0	0	0.00E0	
NH2CHO (5 4 1 5 _ 4 4 0 4) 	45003	106108.553	62.951	2.86E-5	0.000E0	0	0.00E0	
NH2CHO (5 4 2 4 _ 4 4 1 4) 	45003	106109.040	62.951	1.45E-6	0.000E0	0	0.00E0	
NH2CHO (5 4 1 4 _ 4 4 0 4) 	45003	106109.066	62.951	1.45E-6	0.000E0	0	0.00E0	
CH3OCHO (3 3 0 0 _ 2 2 1 0) 	60003	106125.344	9.516	2.26E-6	0.000E0	0	0.00E0	
C3H7CN (24 7 17 0 _ 23 7 16 0) 	69002	106134.101	114.103	8.07E-5	0.000E0	0	0.00E0	
C3H7CN (24 7 18 0 _ 23 7 17 0) 	69002	106134.101	114.103	8.07E-5	0.000E0	0	0.00E0	
NH2CHO (5 3 3 4 _ 4 3 2 3) 	45003	106134.468	42.099	5.03E-5	0.000E0	0	0.00E0	
NH2CHO (5 3 3 6 _ 4 3 2 5) 	45003	106134.542	42.099	5.29E-5	0.000E0	0	0.00E0	
NH2CHO (5 3 3 5 _ 4 3 2 5) 	45003	106134.582	42.099	2.12E-6	0.000E0	0	0.00E0	
NH2CHO (5 3 3 4 _ 4 3 2 4) 	45003	106134.789	42.099	2.59E-6	0.000E0	0	0.00E0	
NH2CHO (5 3 3 5 _ 4 3 2 4) 	45003	106134.837	42.099	5.08E-5	0.000E0	0	0.00E0	
C3H7CN (24 6 19 0 _ 23 6 18 0) 	69002	106135.585	100.727	8.27E-5	0.000E0	0	0.00E0	
C3H7CN (24 6 18 0 _ 23 6 17 0) 	69002	106135.585	100.727	8.27E-5	0.000E0	0	0.00E0	
C3H7CN (24 8 16 0 _ 23 8 15 0) 	69002	106136.627	129.534	7.84E-5	0.000E0	0	0.00E0	
C3H7CN (24 8 17 0 _ 23 8 16 0) 	69002	106136.627	129.534	7.84E-5	0.000E0	0	0.00E0	
NH2CHO (5 3 2 4 _ 4 3 1 3) 	45003	106141.442	42.099	5.03E-5	0.000E0	0	0.00E0	
NH2CHO (5 3 2 6 _ 4 3 1 5) 	45003	106141.515	42.099	5.29E-5	0.000E0	0	0.00E0	
NH2CHO (5 3 2 5 _ 4 3 1 5) 	45003	106141.553	42.099	2.12E-6	0.000E0	0	0.00E0	
NH2CHO (5 3 2 4 _ 4 3 1 4) 	45003	106141.763	42.099	2.59E-6	0.000E0	0	0.00E0	
NH2CHO (5 3 2 5 _ 4 3 1 4) 	45003	106141.809	42.099	5.08E-5	0.000E0	0	0.00E0	
C3H7CN (24 9 15 0 _ 23 9 14 0) 	69002	106141.896	147.016	7.58E-5	0.000E0	0	0.00E0	
C3H7CN (24 9 16 0 _ 23 9 15 0) 	69002	106141.896	147.016	7.58E-5	0.000E0	0	0.00E0	
C3H7CN (24 5 20 0 _ 23 5 19 0) 	69002	106143.822	89.408	8.44E-5	0.000E0	0	0.00E0	
C3H7CN (24 5 19 0 _ 23 5 18 0) 	69002	106143.854	89.408	8.44E-5	0.000E0	0	0.00E0	
C2H5OH,v=0 (6 2 4 2 _ 5 2 3 2) 	46524	106146.301	22.766	1.22E-8	0.000E0	0	0.00E0	
CH3COCH3 (19 7 12 1 _ 19 6 13 1) 	58003	106156.273	138.606	2.26E-5	0.000E0	0	0.00E0	
CH3COCH3 (19 7 12 1 _ 19 6 13 2) 	58003	106156.370	138.606	2.26E-5	0.000E0	0	0.00E0	
CH3COCH3 (19 8 12 1 _ 19 7 13 1) 	58003	106157.086	138.606	2.26E-5	0.000E0	0	0.00E0	
CH3COCH3 (19 8 12 1 _ 19 7 13 2) 	58003	106157.172	138.606	2.26E-5	0.000E0	0	0.00E0	
CH3COOH, vt=0 (6 5 1 0 0 _ 5 5 1 0 0) 	60523	106162.900	20.903	2.90E-8	0.000E0	0	0.00E0	
C3H7CN (24 4 21 0 _ 23 4 20 0) 	69002	106164.851	80.149	8.58E-5	0.000E0	0	0.00E0	
C3H7CN (24 4 20 0 _ 23 4 19 0) 	69002	106166.989	80.15	8.58E-5	0.000E0	0	0.00E0	
CH3COOH, vt=1 (3 3 0 1 0 _ 2 2 1 1 0) 	60524	106182.418	113.456	9.22E-8	0.000E0	0	0.00E0	
C3H7CN (24 3 22 0 _ 23 3 21 0) 	69002	106188.196	72.952	8.69E-5	0.000E0	0	0.00E0	
CH3COCH3 (13 10 3 0 _ 13 7 6 0) 	58003	106226.105	77.768	1.40E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 3 4 0 1 _ 6 4 3 0 2) 	60523	106230.675	23.785	5.11E-6	0.000E0	0	0.00E0	
CH3OCHO (3 3 0 2 _ 2 2 1 1) 	60003	106234.614	9.538	3.38E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (10 8 3 0 2 _ 9 9 0 0 1) 	60523	106235.536	52.892	1.43E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (9 6 4 0 _ 10 5 5 0) 	46524	106257.206	138.161	6.58E-9	0.000E0	0	0.00E0	
C2H5OH,v=0 (9 6 3 0 _ 10 5 6 0) 	46524	106257.753	138.161	6.58E-9	0.000E0	0	0.00E0	
C3H7CN (24 3 21 0 _ 23 3 20 0) 	69002	106263.097	72.968	8.71E-5	0.000E0	0	0.00E0	
CH3COCH3 (19 7 12 0 _ 19 6 13 1) 	58003	106273.673	138.571	2.27E-5	0.000E0	0	0.00E0	
CH3COCH3 (19 8 12 0 _ 19 7 13 1) 	58003	106274.499	138.571	2.27E-5	0.000E0	0	0.00E0	
CH3OCHO (16 7 9 0 _ 17 5 12 0) 	60003	106301.143	112.911	1.24E-8	0.000E0	0	0.00E0	
C3H7CN (16 3 13 0 _ 16 2 14 0) 	69002	106317.559	38.133	3.43E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (15 7 8 0 0 _ 14 10 4 0 0) 	60523	106319.163	103.387	1.33E-8	0.000E0	0	0.00E0	
CH3COCH3 (9 6 3 1 _ 8 7 1 2) 	58003	106332.556	37.342	1.29E-6	0.000E0	0	0.00E0	
CCS (8 9 _ 7 8) 	56502	106347.726	24.996	5.48E-5	0.000E0	0	0.00E0	
CCS (14 13 _ 13 13) 	56502	106362.653	70.39	4.66E-7	0.000E0	0	0.00E0	
CH3COCH3 (13 10 3 0 _ 13 7 6 1) 	58003	106363.934	77.84	1.06E-6	0.000E0	0	0.00E0	
C3H7CN (10 2 8 1 _ 9 0 9 1) 	69002	106368.628	149.565	2.72E-7	0.000E0	0	0.00E0	
C2H5CN (15 3 12 _ 15 2 13) 	55001	106375.033	61.696	5.99E-6	0.000E0	0	0.00E0	
C3H7CN (9 2 7 0 _ 8 1 8 0) 	69002	106388.366	13.673	2.00E-6	0.000E0	0	0.00E0	
CH3COCH3 (19 7 12 0 _ 19 6 13 0) 	58003	106390.849	138.537	2.28E-5	0.000E0	0	0.00E0	
CH3COCH3 (19 8 12 0 _ 19 7 13 0) 	58003	106391.693	138.537	2.28E-5	0.000E0	0	0.00E0	
C2H5OH,v=0 (7 2 6 1 _ 7 0 7 1) 	46524	106408.324	89.673	3.37E-8	0.000E0	0	0.00E0	
CH3NH2 (2 2 5 _ 3 1 5) 	31008	106425.151	22.405	6.27E-7	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 9 2 0 0 _ 11 7 5 0 0) 	60523	106477.558	64.561	3.97E-8	0.000E0	0	0.00E0	
CH3COCH3 (11 6 6 1 _ 10 7 3 2) 	58003	106481.923	51.11	1.08E-6	0.000E0	0	0.00E0	
CH3CHO (16 2 14 2 _ 15 3 13 1) 	44003	106496.299	136.555	1.26E-6	0.000E0	0	0.00E0	
HC5N, v=0 (40 _ 39) 	75503	106498.910	104.782	1.30E-4	0.000E0	0	0.00E0	
CH3SH,v=0-2 (2 1 1 0 _ 2 0 2 0) 	48510	106524.071	8.753	3.88E-6	0.000E0	0	0.00E0	
C3H7CN (15 3 12 0 _ 15 2 13 0) 	69002	106526.167	34.737	3.42E-6	0.000E0	0	0.00E0	
NH2CHO (5 2 3 4 _ 4 2 2 4) 	45003	106541.562	27.234	3.44E-6	0.000E0	0	0.00E0	
NH2CHO (5 2 3 4 _ 4 2 2 3) 	45003	106541.773	27.234	6.68E-5	0.000E0	0	0.00E0	
NH2CHO (5 2 3 6 _ 4 2 2 5) 	45003	106541.782	27.234	7.03E-5	0.000E0	0	0.00E0	
NH2CHO (5 2 3 5 _ 4 2 2 4) 	45003	106541.871	27.234	6.75E-5	0.000E0	0	0.00E0	
NH2CHO (5 2 3 5 _ 4 2 2 5) 	45003	106542.039	27.234	2.81E-6	0.000E0	0	0.00E0	
CH3COCH3 (14 10 5 0 _ 14 7 7 1) 	58003	106544.687	87.757	5.25E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (7 5 3 0 0 _ 6 5 1 0 0) 	60523	106560.216	26.017	2.20E-7	0.000E0	0	0.00E0	
C5N (38 38.5 38.5 _ 37 37.5 38.5) 	74501	106615.838	99.779	5.37E-8	0.000E0	0	0.00E0	
C5N (38 38.5 37.5 _ 37 37.5 36.5) 	74501	106618.849	99.779	7.97E-5	0.000E0	0	0.00E0	
C5N (38 38.5 38.5 _ 37 37.5 37.5) 	74501	106618.850	99.779	7.97E-5	0.000E0	0	0.00E0	
C5N (38 38.5 39.5 _ 37 37.5 38.5) 	74501	106618.850	99.779	7.98E-5	0.000E0	0	0.00E0	
C5N (38 38.5 37.5 _ 37 37.5 37.5) 	74501	106619.129	99.779	5.51E-8	0.000E0	0	0.00E0	
C5N (38 37.5 37.5 _ 37 36.5 37.5) 	74501	106629.406	99.799	5.69E-8	0.000E0	0	0.00E0	
C5N (38 37.5 36.5 _ 37 36.5 35.5) 	74501	106629.594	99.799	7.97E-5	0.000E0	0	0.00E0	
C5N (38 37.5 37.5 _ 37 36.5 36.5) 	74501	106629.594	99.799	7.97E-5	0.000E0	0	0.00E0	
C5N (38 37.5 38.5 _ 37 36.5 37.5) 	74501	106629.595	99.799	7.98E-5	0.000E0	0	0.00E0	
C5N (38 37.5 36.5 _ 37 36.5 36.5) 	74501	106632.621	99.799	5.84E-8	0.000E0	0	0.00E0	
CH3OCHO (14 4 11 1 _ 14 3 12 1) 	60003	106632.804	72.927	1.70E-6	0.000E0	0	0.00E0	
C2H3CN (11 1 10 0 11 _ 10 1 9 0 11) 	53001	106640.121	32.901	7.96E-7	0.000E0	0	0.00E0	
C2H3CN (11 1 10 0 11 _ 10 1 9 0 10) 	53001	106641.383	32.901	9.55E-5	0.000E0	0	0.00E0	
C2H3CN (11 1 10 0 10 _ 10 1 9 0 9) 	53001	106641.383	32.901	9.54E-5	0.000E0	0	0.00E0	
C2H3CN (11 1 10 0 12 _ 10 1 9 0 11) 	53001	106641.395	32.901	9.63E-5	0.000E0	0	0.00E0	
C2H3CN (11 1 10 0 10 _ 10 1 9 0 11) 	53001	106641.491	32.901	1.80E-9	0.000E0	0	0.00E0	
C2H3CN (11 1 10 0 10 _ 10 1 9 0 10) 	53001	106642.752	32.902	8.72E-7	0.000E0	0	0.00E0	
C2H5OH,v=0 (13 1 12 2 _ 13 0 13 2) 	46524	106649.472	79.421	5.47E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (10 9 1 0 0 _ 10 7 4 0 0) 	60523	106662.355	55.951	1.28E-8	0.000E0	0	0.00E0	
CH3OCHO (14 4 11 0 _ 14 3 12 0) 	60003	106668.134	72.916	1.70E-6	0.000E0	0	0.00E0	
CH3COOH, vt=1 (9 5 4 1 0 _ 8 6 2 1 0) 	60524	106668.596	145.636	1.26E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (6 1 5 0 _ 5 1 4 0) 	46524	106676.441	76.052	1.01E-5	0.000E0	0	0.00E0	
CH3COCH3 (10 7 4 0 _ 9 8 2 1) 	58003	106682.641	45.506	8.79E-7	0.000E0	0	0.00E0	
C2H3CHO (12 2 11 0 _ 11 2 10 0) 	56008	106683.586	41.537	6.14E-5	0.000E0	0	0.00E0	
CH3COCH3 (11 6 6 0 _ 10 7 3 1) 	58003	106687.640	51.034	1.12E-6	0.000E0	0	0.00E0	
CH3COCH3 (11 6 6 1 _ 10 7 3 1) 	58003	106687.954	51.11	1.11E-6	0.000E0	0	0.00E0	
CH3COCH3 (18 11 7 0 _ 17 14 3 1) 	58003	106694.694	139.43	2.36E-8	0.000E0	0	0.00E0	
CH3COOH, vt=1 (5 4 1 1 1 _ 4 2 2 1 2) 	60524	106696.513	127.376	3.30E-8	0.000E0	0	0.00E0	
CH3COCH3 (11 9 3 0 _ 10 10 0 0) 	58003	106699.727	57.468	4.73E-7	0.000E0	0	0.00E0	
C3H7CN (14 3 11 0 _ 14 2 12 0) 	69002	106699.773	31.552	3.41E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (15 8 8 0 0 _ 14 10 4 0 0) 	60523	106708.024	103.406	2.82E-9	0.000E0	0	0.00E0	
CH3COOH, vt=1 (5 4 2 1 0 _ 4 2 2 1 0) 	60524	106718.762	118.874	3.38E-6	0.000E0	0	0.00E0	
C2H5OH,v=0 (9 2 8 2 _ 9 1 9 2) 	46524	106723.565	42.688	5.89E-6	0.000E0	0	0.00E0	
C6H (38 -1 38.5 _ 37 1 37.5) 	73501	106723.796	100.913	2.14E-4	0.000E0	0	0.00E0	
